name,lat,lng,address,uid
恒大绿洲,30.556018,114.130483,蔡甸区汉阳大街276号,
三五四一社区,30.56181,114.138154,武汉市蔡甸区新天大道827号,
东风阳光城,30.501164,114.157756,湖北省武汉市蔡甸区沌口开发区东风大道车城西路70号,
人信・太子湾,30.512608,114.188113,武汉市汉阳区新民路220号,
健龙・果岭公元,30.491401,114.158919,武汉市蔡甸区东风大道227号,
西山林语,30.560162,114.127682,湖北省武汉市蔡甸区西山林语(汉阳大街北220米),
联投半岛,30.496284,114.144984,湖北省武汉市蔡甸区车城大道269号,
佳和馨居,30.506084,114.163959,湖北省武汉市蔡甸区东兴路2号,
越秀逸境,30.475619,114.101682,湖北省武汉市蔡甸区全力一路与后官湖南路交叉口,
江大园,30.529372,114.165405,武汉市蔡甸区博学路1号,
蔡家馨苑,30.510435,114.16006,武汉市蔡甸区神龙大道129号,
美好愿景香榭丽舍,30.501844,114.163994,湖北省武汉市蔡甸区神龙大道119号,
金色港湾商业-三期,30.522499,114.185133,武汉市蔡甸区东风大道68号附40号,
世茂龙湾-2期,30.492461,114.097813,湖北省武汉市蔡甸区大集街道世茂龙湾二期,
红光精品花园,30.571277,114.061,湖北省武汉市蔡甸区新天大道110号,
宁康园,30.500497,114.176938,武汉市蔡甸区宁康路69号,
新民花园小区,30.517729,114.191179,蔡甸区经济开发区金色港湾芳草一路255号（奥林花园小区旁）,
万科金域蓝湾,30.511014,114.162976,湖北省武汉市蔡甸区三角湖路,
海天幸福小城-三期,30.472844,114.141076,武汉市蔡甸区蔡甸经济开发区沌口办事处沌口街街道珠山湖大道210号,
东风.阳光城四期红枫苑,30.503532,114.155687,湖北省武汉市蔡甸区沌口东风・阳光城三期西北,
东方花园-A区,30.504456,114.168487,武汉市蔡甸区神龙大道126号,
金色港湾-一期,30.52036,114.181981,湖北省武汉市蔡甸区东风大道68号,
东风阳光城黄馨苑,30.502171,114.154635,湖北省武汉市蔡甸区沌口东风阳光城黄馨苑(沌阳大道北),
幺铺还建小区,30.568893,114.08131,湖北省武汉市蔡甸区汉阳大街幺铺还建小区,
金荷花园,30.498885,114.161676,湖北省武汉市蔡甸区观湖路与东兴路交叉口,
东方夏威夷国际花园,30.525395,114.142889,武汉市蔡甸区博艺路,
世贸龙湾别墅,30.49477,114.099693,武汉市蔡甸区知音湖大道特1号(知音湖大道与天鹅湖大道交汇处),
金家・新都汇,30.578223,114.048571,武汉市蔡甸区茂兴路1号,
港湾江城,30.466009,114.200582,武汉市蔡甸区沌口路221号,
东方花园-B区,30.504803,114.166155,湖北省武汉市蔡甸区沌口东方花园B区(东兴路东90米),
万科翡翠玖玺,30.505347,114.186369,湖北省武汉市经开区车城东路1号,
枫桦苇岸,30.464076,114.186351,武汉市蔡甸区沌口路457号,
中法新城,30.571349,114.062489,武汉市蔡甸区大拇指广场中法新城,
人信千年美丽,30.521806,114.112793,湖北省武汉市蔡甸区大沌线,
嘎纳印象,30.527474,114.188831,湖北省武汉经济开发区东风大道56号,
中国健康谷,30.543892,114.121142,湖北省武汉市蔡甸区汉阳大道与五贤路交汇处,
人信奥林花园,30.515866,114.186661,湖北省武汉市蔡甸区东风大道71-附68号,
湖墅观止,30.52509,114.121354,武汉市蔡甸区沌口天鹅湖大道6-9号(位于后官湖和知音湖之间),
金色港湾-四期,30.527139,114.186768,武汉市蔡甸区龙阳大道236号,
水木清华,30.514653,114.159172,武汉市蔡甸区神龙大道与碧湖东路交叉路口往东约100米(武汉开发区第一中学西南侧),
武汉・知音城还建社区2期,30.566267,114.08459,武汉市蔡甸区水厂巷与104省道交叉口西北200米,
长江楚韵,30.478123,114.224366,武汉市蔡甸区长江路505号,
金凯公寓,30.484785,114.170153,武汉市蔡甸区车城大道218号,
观澜外校城,30.519307,114.196035,湖北省武汉市蔡甸区观澜外校城(芳草路西150米),
碧湖新村,30.510313,114.156115,武汉市蔡甸区沌口开发区三角湖路18号,
人信奥林苑,30.504785,114.170646,武汉市蔡甸区东风大道96号,
东合官湖郡,30.489761,114.147904,武汉市蔡甸区车城南街30号(东风设计院公交站附近),
碧桂园・学府壹号,30.583002,114.017662,武汉市蔡甸区蔡甸大街180号,
中核・锦城,30.566813,114.062882,湖北省武汉市蔡甸区汉阳大道中核世纪广场对面,
锦狮丽苑,30.582548,114.050651,武汉市蔡甸区蔡甸街工农路3号(农路站点旁),
龙湖社区-二期,30.379123,114.130437,湖北省武汉市蔡甸区龙湖社区二期(101省道南),
丝宝叠翠园,30.478199,114.132565,湖北省武汉市蔡甸区后官湖大道118号,
景天苑,30.588339,114.023273,湖北省武汉市蔡甸区树藩大街366号,
国创・青云,30.517761,114.111574,湖北省武汉市蔡甸区天鹅湖大道199号,
农利小区,30.579681,114.038663,武汉市蔡甸区蔡姚路56号,
丽水C区,30.582607,114.046785,武汉市蔡甸区同心路49号,
中海尚城,30.568285,114.033174,莲花湖大道中海尚城,
凤凰路五星社区,30.586716,114.070405,武汉市蔡甸区琴川大道五星小区,
九坤翰林苑,30.580856,114.024332,武汉市蔡甸区蔡甸大街与文兴路交汇处(汉阳一中对面),
东方花园建行小区,30.503553,114.169606,武汉市蔡甸区神龙大道126号,
碧桂园忆西湖,30.514438,113.965811,武汉市蔡甸区松茅公路北1公里,
唐河还建小区,30.556042,114.125802,湖北省武汉市蔡甸区唐河还建小区(汉阳大街南200米),
丽景雅苑小区,30.577629,114.040043,武汉市蔡甸区蔡姚路76号,
金色港湾双湖林语,30.518559,114.194936,经济开发区芳草路与太子湖北路交汇处,
广场小区(茂源街),30.580864,114.046335,武汉市蔡甸区汉阳大街114号,
罗家山小区,30.57777,114.029067,武汉市蔡甸区新福路102号,
广场花园,30.579798,114.046519,武汉市蔡甸区汉阳大街930号(工农路广场西侧),
观湖园别墅区,30.537383,114.095733,武汉市蔡甸区,
万家湖社区(A区)-南门,30.470013,114.187957,武汉市蔡甸区沌口路628号,
德氏花园-B区,30.587429,114.028903,武汉市蔡甸区蔡甸大街汉马路30号,
联投金色港湾剑桥郡,30.524201,114.159967,湖北省武汉市蔡甸区武汉经济技术开发区博学路6号(江大西5号门斜对面),
中海尚Z,30.578021,114.023003,武汉市蔡甸区成功山路九坤翰林苑南侧约110米,
越秀博悦府,30.582573,114.030524,湖北省武汉市蔡甸区幸福中学以西汉乐路原蔡甸钢丝绳厂旁,
金荷花园-B区,30.498863,114.162181,武汉市蔡甸区观湖路松海巷9号,
武汉世茂嘉年华,30.489565,114.091675,湖北省武汉市蔡甸区后官湖畔,
万科金域蓝湾-南区,30.510641,114.162406,湖北省武汉市翡翠玖玺,
惠民新居,30.578971,114.029855,武汉市蔡甸区蔡甸大街192号,
锦绣豪园别墅区,30.514067,114.152534,武汉市蔡甸区经济技术开发区沌口小区6号地,
洪山二区,30.4849,114.14523,武汉市蔡甸区莲湖路与后官湖大道交叉路口北侧,
莲溪社区-F区,30.506679,114.065282,湖北省武汉市蔡甸区L张莲溪社区F区(大集新社区东150米),
天意小区,30.580858,114.028909,武汉市蔡甸区蔡甸大街189号,
朗香苑,30.501874,114.164587,武汉市蔡甸区神龙大道119号,
后官湖别墅区,30.539072,114.118951,武汉市蔡甸区同济医院专家社区,
怡泰苑小区,30.578202,114.032059,武汉市蔡甸区蔡甸大街200号,
东合官湖郡-2期,30.489346,114.149092,武汉市蔡甸区车城西路东合官湖郡,
检苑,30.579212,114.037674,湖北省武汉市蔡甸区蔡姚路56正西方向100米,
依山龙郡1期,30.569816,114.04873,武汉市蔡甸区茂兴路依山龙郡,
幸福春天,30.579575,114.035518,武汉市蔡甸区临嶂大道122号,
蔡家花园-东区,30.509429,114.157701,武汉市蔡甸区三角湖路,
南湖小区5期,30.517038,114.106205,武汉市蔡甸区大沌线武汉南湖小区,
华茂盛景,30.467167,114.193916,武汉市蔡甸区沌口新街华茂品江东侧约90米,
怡景苑,30.503268,114.159427,观湖路,
凤凰苑(泊龙路),30.506718,114.061825,湖北省武汉市蔡甸区大集街大集社区,
天怡花园,30.579692,114.036585,临嶂大道131号,
奥林花园-一至三期,30.520964,114.187679,武汉市蔡甸区太子湖北路人信奥林花园1号门南侧,
福晟滨江国际-二期,30.588898,114.045479,武汉市蔡甸区茂林路9号(茂林街和同心路交汇处),
红光社区,30.574796,114.06159,武汉市蔡甸区104省道红光小区,
蔡甸区交通局小区,30.587075,114.037268,武汉市蔡甸区文昌街184号,
怡湖居A区,30.521141,114.181592,湖北省武汉市蔡甸区金色港湾,
幺铺还建小区-北区,30.569208,114.082713,湖北省武汉市蔡甸区幺铺还建楼二期(汉蔡高速公路南),
盛泰苑-西区,30.581696,114.029655,汉乐路9附16附近,
东方名居商住楼,30.58859,114.033061,建设村2,
琴断口街江城社区,30.594697,114.090609,武汉市蔡甸区三官村汤家台特1号,
香澜公馆,30.506915,114.16141,湖北省武汉市蔡甸区神龙大道,
万科金域蓝湾-北区,30.511629,114.164751,武汉市蔡甸区博学路与三角湖路交叉路口往南约190米,
金凯公寓-二期,30.484857,114.170403,武汉市蔡甸区车城大道218号,
阳光丽景-南区,30.49861,114.162908,湖北省武汉市蔡甸区联城路22号,
鑫江花园(西区),30.587795,114.027469,武汉市蔡甸区汉马路16号,
蔡家三区,30.508673,114.160874,武汉市蔡甸区神龙大道,
丽景雅苑小区-南区,30.577695,114.040028,武汉市蔡甸区蔡甸大道蔡姚路76号,
翠湖园,30.512569,114.176638,武汉市蔡甸区东风大道86号,
蓝泊湾,30.505296,114.170981,武汉市蔡甸区东风大道人信奥林苑,
凤凰苑社区-4期,30.428549,114.093663,武汉市蔡甸区爱民路与054县道交叉口西北100米,
雅典花苑,30.587942,114.041075,武汉市蔡甸区茂林街8号,
港湾江城-西区,30.465688,114.200476,武汉市蔡甸区万家湖中路与沌口路交叉路口往东南约200米,
西岸阳光城,30.505073,114.161517,武汉市蔡甸区神龙大道东风・阳光城东区,
颐养楼,30.488988,114.140656,武汉市蔡甸区海滨城路1号海滨城度假村附近,
黄陵社区2期(临时站),30.411886,114.079926,黄陵社区二期(黄陵大道南),
盛泰苑-东区,30.581485,114.030808,湖北省武汉市蔡甸区盛泰苑东区(汉乐路北70米),
紫薇苑,30.514918,114.15867,武汉市蔡甸区神龙大道水木清华,
人信奥林花园-冠军苑,30.514365,114.188804,新民路人信奥林花园冠军苑,
现代城云庭,30.507396,114.058096,湖北省武汉市蔡甸区后官湖大集街(213终点站),
大集G区莲溪花园,30.504721,114.065747,湖北省武汉市蔡甸区大集街建五路与大沌南路交汇处以西,
龙王庙社区东区一门,30.457185,114.064135,武汉市蔡甸区白鹤泉东街龙王庙社区南门东侧,
华元世旗,30.453567,114.065582,武汉市蔡甸区龙王四路富桥公寓西侧约180米,
蔡甸街同心开发商住楼(同馨花园小区),30.581724,114.046595,湖北省武汉市蔡甸区汉阳大街149号,
工农路五屋社区,30.592723,114.043681,武汉市蔡甸区工农路6号,
木兰苑雅湖居,30.522164,114.183569,武汉市蔡甸区经济技术开发区龙阳大道236号金色港湾米兰苑,
楠木花苑,30.523756,114.188436,武汉市蔡甸区东风大道金桥・太子湖1号,
金港花园小区,30.521945,114.187076,东风大道69号武汉外国语学校附近,
金御园,30.473083,114.119983,武汉市蔡甸区枫树四路汉阳满庭春MOMA,
五环苑小区,30.517438,114.186038,湖北省武汉市蔡甸区人信・奥林花园(新民路西),
同德楼,30.468845,114.19447,武汉市蔡甸区江城大道沌口小学,
蔡家花园-西区,30.507754,114.156987,湖北省武汉市蔡甸区沌口车城西路蔡家花园(后官湖东150米),
金荷花园-三期,30.498901,114.161874,武汉市蔡甸区联城一路与联城西路交叉路口东北侧(金荷花园),
时代年华(L正街),30.45619,114.018517,湖北省武汉市蔡甸区白鹤泉西街74号,
国韵静园,30.505048,114.173076,湖北省武市蔡甸区沌口街街道盛世锦江大酒店一楼,
金伯乐金色港湾KBHouse,30.527351,114.187715,湖北省武汉市蔡甸区沌口开发区东风大道金色港湾四期15栋3单元101号,
